commonName,lat,lon,NbDocks,geometry,Station_number,Community
"Tyers Gate, Bermondsey",51.500889,-0.083159,36,POINT (702442.3654329994 5709562.430660647),3485,2
"The Tennis Courts, The Regent's Park",51.525367,-0.153463,16,POINT (697457.9308329399 5712091.771370863),1199,0
"Warwick Row, Westminster",51.497998,-0.14296,21,POINT (698305.2325389134 5709077.227141427),968,3
"Dickens Square, Borough",51.496791,-0.093913,32,POINT (701714.2327554243 5709077.107989187),1208,2
"Sackville Street, Mayfair",51.510048,-0.138846,18,POINT (698538.3243180409 5710428.131572438),1197,0
"Baldwin Street, St. Luke's",51.527025,-0.088542,21,POINT (701953.1514140401 5712453.38310053),3500,1
"Queen Mother Sports Centre, Victoria",51.493573,-0.139956,26,POINT (698532.9337103763 5708593.392280496),1148,3
"Bermondsey Street, Bermondsey",51.497855,-0.081608,24,POINT (702563.4492599255 5709229.400636813),2637,2
"Palissy Street, Shoreditch",51.526293,-0.073955,26,POINT (702968.0367100543 5712412.379771171),3502,1
"Clifton Street, Shoreditch",51.523196,-0.083067,24,POINT (702349.8327273645 5712042.802638378),3501,1
"Ontario Street, Elephant & Castle",51.49652,-0.101384,15,POINT (701196.9570311696 5709026.407178416),1200,2
"St. Martin's Street, West End",51.509087,-0.129697,18,POINT (699177.2562308022 5710346.1555585805),1158,3
"Graham Street, Angel",51.532661,-0.099981,26,POINT (701134.9859140397 5713048.478187342),1131,1
"New North Road 2, Hoxton",51.53114,-0.086016,22,POINT (702110.1000406959 5712917.8729747),2641,1
"Bunhill Row, Moorgate",51.520858,-0.089887,30,POINT (701887.1607355529 5711764.013916652),1211,1
"Concert Hall Approach 1, South Bank",51.505044,-0.115851,10,POINT (700155.606444915 5709934.437082032),2635,2
"Tavistock Street, Covent Garden",51.511968,-0.120718,33,POINT (699787.6028955439 5710690.956093153),1207,0
"Concert Hall Approach 2, South Bank",51.504942,-0.115533,18,POINT (700178.1181915462 5709923.966618742),1212,1
"Wellington Street , Strand",51.511756,-0.119643,24,POINT (699863.109118208 5710670.322067618),1202,2
"Risinghill Street, Angel",51.533319,-0.111781,25,POINT (700313.8469744683 5713089.247461584),1127,0
